,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
8,Ohio,Allen County,Census Tract 102,1923,85.0,10.5,0.0,0.0,0.0,0.6,4.0,19.4
9,Ohio,Allen County,Census Tract 103,943,88.5,3.2,0.0,5.1,0.0,0.0,3.2,20.8
10,Ohio,Allen County,Census Tract 106,2222,82.1,8.2,0.9,0.0,0.3,4.5,3.8,24.4
11,Ohio,Allen County,Census Tract 108.01,1983,85.3,8.1,0.0,0.5,0.0,3.0,3.1,22.0
12,Ohio,Allen County,Census Tract 108.02,1511,85.7,6.4,0.0,0.0,0.0,0.0,7.9,17.3
13,Ohio,Allen County,Census Tract 109,2470,86.8,8.6,0.0,0.0,0.0,3.0,1.6,17.3
14,Ohio,Allen County,Census Tract 110,2668,86.1,4.3,0.2,0.2,0.0,0.0,9.3,19.2
15,Ohio,Allen County,Census Tract 112,531,77.4,0.0,0.0,15.6,0.0,0.0,7.0,18.2
16,Ohio,Allen County,Census Tract 113.01,2055,80.8,9.1,0.0,0.0,0.0,0.0,10.0,16.2
17,Ohio,Allen County,Census Tract 113.02,1478,90.2,4.7,0.0,0.0,0.0,0.7,4.4,18.0
18,Ohio,Allen County,Census Tract 114,1374,84.0,9.2,0.0,0.5,0.0,1.1,5.2,20.0
19,Ohio,Allen County,Census Tract 115,1378,83.6,11.8,0.0,0.0,0.0,0.0,4.6,25.6
20,Ohio,Allen County,Census Tract 116,998,76.2,13.3,0.0,0.0,0.0,0.0,10.5,20.4
21,Ohio,Allen County,Census Tract 118,1262,82.9,8.9,0.0,0.0,0.0,0.4,7.8,14.7
22,Ohio,Allen County,Census Tract 119,1439,86.6,9.6,0.0,0.0,0.0,0.0,3.8,18.2
23,Ohio,Allen County,Census Tract 120,1241,90.2,2.5,0.0,0.1,0.0,0.0,7.3,20.2
24,Ohio,Allen County,Census Tract 121,1468,83.2,8.7,0.0,0.5,0.0,2.0,5.7,18.0
25,Ohio,Allen County,Census Tract 122,1615,82.2,7.5,3.2,0.0,2.7,2.9,1.5,17.7
26,Ohio,Allen County,Census Tract 123,1489,81.9,13.2,0.0,0.0,2.6,0.9,1.3,16.8
27,Ohio,Allen County,Census Tract 124,1087,73.4,18.3,0.0,1.5,2.3,3.9,0.6,14.5
28,Ohio,Allen County,Census Tract 126,731,80.0,10.3,0.0,5.6,1.0,0.0,3.1,14.3
29,Ohio,Allen County,Census Tract 127,459,63.4,27.7,2.4,3.3,0.0,0.0,3.3,14.9
30,Ohio,Allen County,Census Tract 129,648,80.4,15.6,0.0,0.0,0.0,3.9,0.2,13.2
31,Ohio,Allen County,Census Tract 130,1906,83.5,9.8,0.8,1.4,0.0,3.1,1.4,15.1
32,Ohio,Allen County,Census Tract 131,1332,82.4,11.9,0.0,0.5,0.0,0.0,5.3,14.1
33,Ohio,Allen County,Census Tract 132,862,91.6,5.5,0.1,0.1,0.0,0.0,2.7,18.5
34,Ohio,Allen County,Census Tract 133,520,72.3,9.4,6.5,3.3,0.0,3.5,5.0,20.3
35,Ohio,Allen County,Census Tract 134,380,68.7,12.4,0.8,0.0,0.0,4.5,13.7,14.5
36,Ohio,Allen County,Census Tract 136,248,64.9,29.4,0.0,5.6,0.0,0.0,0.0,24.4
37,Ohio,Allen County,Census Tract 137,344,75.0,19.8,0.0,0.0,0.0,4.4,0.9,27.0
38,Ohio,Allen County,Census Tract 138,999,84.0,8.5,1.7,0.0,0.0,4.4,1.4,16.3
39,Ohio,Allen County,Census Tract 139,1605,87.8,4.0,0.0,1.0,0.0,0.3,6.9,24.7
40,Ohio,Allen County,Census Tract 140,1386,84.3,10.9,0.0,0.0,0.9,1.4,2.6,19.6
41,Ohio,Allen County,Census Tract 141,626,64.2,10.9,5.6,9.6,5.0,4.8,0.0,16.2
42,Ohio,Ashland County,Census Tract 9701.01,1045,83.7,13.2,0.0,2.4,0.0,0.0,0.7,32.7
43,Ohio,Ashland County,Census Tract 9701.02,2287,78.0,9.4,0.0,0.0,0.0,5.3,7.3,31.0
44,Ohio,Ashland County,Census Tract 9702,2656,86.5,6.1,0.0,0.2,0.0,0.6,6.6,27.7
45,Ohio,Ashland County,Census Tract 9703,1789,80.8,9.6,0.0,0.6,0.0,0.3,8.7,16.7
46,Ohio,Ashland County,Census Tract 9704,1653,90.7,3.9,0.0,0.4,0.0,0.0,5.0,16.7
47,Ohio,Ashland County,Census Tract 9705,1523,72.0,7.7,0.0,3.0,5.1,0.7,11.5,17.9
48,Ohio,Ashland County,Census Tract 9706,2079,74.5,10.0,0.0,6.2,0.0,0.0,9.3,16.4
49,Ohio,Ashland County,Census Tract 9707,2207,87.0,1.6,0.1,3.3,1.0,0.0,6.9,22.3
50,Ohio,Ashland County,Census Tract 9708,2231,82.0,4.0,0.0,4.6,0.0,1.8,7.6,30.8
51,Ohio,Ashland County,Census Tract 9709,2343,80.4,8.7,0.5,1.6,0.0,2.5,6.3,27.2
52,Ohio,Ashland County,Census Tract 9710,2545,77.7,15.0,0.0,4.2,0.2,0.0,2.9,23.3
53,Ohio,Ashland County,Census Tract 9711,1737,73.1,14.5,0.0,4.4,0.0,4.1,3.9,21.3
54,Ohio,Ashtabula County,Census Tract 1.01,1176,73.8,16.6,0.5,2.6,0.0,2.3,4.3,27.9
55,Ohio,Ashtabula County,Census Tract 1.02,1470,83.3,8.8,0.0,2.1,0.0,0.5,5.3,20.9
56,Ohio,Ashtabula County,Census Tract 1.03,1447,86.4,10.4,0.2,1.3,0.0,0.5,1.2,18.7
57,Ohio,Ashtabula County,Census Tract 2,1731,81.8,9.4,0.2,1.0,0.0,2.8,4.7,25.3
58,Ohio,Ashtabula County,Census Tract 3,964,83.0,12.2,0.6,0.4,0.0,0.0,3.7,25.2
59,Ohio,Ashtabula County,Census Tract 4,525,87.8,3.0,0.0,1.1,4.6,0.0,3.4,24.3
60,Ohio,Ashtabula County,Census Tract 5,1816,83.3,11.3,0.0,2.7,0.4,0.0,2.3,21.2
61,Ohio,Ashtabula County,Census Tract 6.01,1106,78.2,19.6,0.0,1.2,0.0,0.0,1.0,15.7
62,Ohio,Ashtabula County,Census Tract 6.02,1487,82.6,3.0,1.8,0.0,0.0,4.7,7.9,19.0
63,Ohio,Ashtabula County,Census Tract 6.03,1566,72.8,12.3,0.0,0.0,0.0,6.2,8.7,24.6
64,Ohio,Ashtabula County,Census Tract 7.01,1226,81.9,14.8,0.0,0.0,0.0,2.9,0.4,20.3
65,Ohio,Ashtabula County,Census Tract 7.02,1210,81.4,9.3,0.0,0.0,0.0,4.6,4.6,28.7
66,Ohio,Ashtabula County,Census Tract 7.03,1520,82.6,9.4,0.7,4.9,0.0,1.4,1.0,27.1
67,Ohio,Ashtabula County,Census Tract 7.04,1763,71.5,11.6,2.9,0.0,2.1,2.6,9.4,20.4
68,Ohio,Ashtabula County,Census Tract 8.01,692,73.1,16.2,0.9,2.6,0.0,0.0,7.2,27.2
69,Ohio,Ashtabula County,Census Tract 8.02,2469,88.5,2.4,0.0,3.8,0.0,0.0,5.2,28.2
70,Ohio,Ashtabula County,Census Tract 9,1835,79.4,17.1,0.0,0.0,0.0,0.0,3.5,26.9
71,Ohio,Ashtabula County,Census Tract 10.01,2361,83.1,8.4,0.2,0.0,0.6,0.6,7.2,36.3
72,Ohio,Ashtabula County,Census Tract 10.02,1638,84.0,9.0,0.8,1.6,0.0,0.0,4.6,29.0
73,Ohio,Ashtabula County,Census Tract 11.01,668,71.3,9.6,0.0,0.0,0.0,13.6,5.5,25.9
74,Ohio,Ashtabula County,Census Tract 11.02,2828,75.6,11.2,0.0,0.0,0.0,4.0,9.3,28.1
75,Ohio,Ashtabula County,Census Tract 12.01,1469,81.6,3.9,0.0,0.0,0.0,3.4,11.2,31.0
76,Ohio,Ashtabula County,Census Tract 12.02,1668,79.3,5.5,0.0,0.0,0.0,4.6,10.6,29.8
77,Ohio,Ashtabula County,Census Tract 13.01,1294,75.5,17.5,0.0,1.1,0.0,0.0,5.9,29.5
78,Ohio,Ashtabula County,Census Tract 13.03,1413,76.2,13.2,2.1,1.3,0.0,0.4,7.0,35.8
79,Ohio,Ashtabula County,Census Tract 13.04,238,78.2,7.1,0.0,0.0,0.0,13.4,1.3,32.4
80,Ohio,Ashtabula County,Census Tract 14.01,1385,31.8,24.1,0.0,6.1,0.0,30.8,7.2,35.0
81,Ohio,Ashtabula County,Census Tract 14.02,2037,73.4,15.3,0.0,0.8,0.0,4.3,6.2,34.5
82,Ohio,Ashtabula County,Census Tract 9900,0,,,,,,,,
83,Ohio,Athens County,Census Tract 9726,1490,77.7,12.8,0.0,1.5,0.0,1.9,6.1,33.3
84,Ohio,Athens County,Census Tract 9727,1718,86.1,4.1,0.0,1.0,0.0,2.3,6.4,25.4
85,Ohio,Athens County,Census Tract 9728,1327,81.3,5.6,0.0,7.9,0.0,0.0,5.2,56.2
86,Ohio,Athens County,Census Tract 9729,2995,56.2,15.2,2.4,3.5,1.0,0.0,21.7,19.6
87,Ohio,Athens County,Census Tract 9730,1904,59.5,13.0,0.0,6.9,3.8,0.6,16.3,18.9
88,Ohio,Athens County,Census Tract 9731.01,1833,38.1,14.3,0.0,28.0,0.0,0.4,19.3,15.4
89,Ohio,Athens County,Census Tract 9732,1922,64.9,13.5,0.9,3.5,2.5,0.0,14.7,18.5
90,Ohio,Athens County,Census Tract 9733,1933,67.6,9.0,2.7,0.0,0.8,1.7,18.3,16.5
91,Ohio,Athens County,Census Tract 9734,1293,75.0,9.4,1.3,0.5,0.0,0.0,13.8,17.0
92,Ohio,Athens County,Census Tract 9735,1563,74.2,17.2,0.0,3.3,1.2,0.0,4.1,27.4
93,Ohio,Athens County,Census Tract 9736,1833,83.7,11.0,0.1,0.2,0.0,0.0,5.0,30.3
94,Ohio,Athens County,Census Tract 9737,1778,74.9,10.1,0.0,0.5,0.0,0.8,13.7,30.4
95,Ohio,Athens County,Census Tract 9738,2071,80.9,3.4,0.0,1.4,0.0,1.5,12.7,26.2
96,Ohio,Athens County,Census Tract 9739.01,2199,35.5,2.6,0.2,49.2,0.1,0.3,12.1,12.4
97,Ohio,Athens County,Census Tract 9739.02,1723,43.8,2.9,1.3,34.2,0.0,0.3,17.5,22.6
98,Ohio,Auglaize County,Census Tract 401,2018,81.1,7.2,0.0,1.9,0.0,0.7,9.1,23.0
99,Ohio,Auglaize County,Census Tract 402,2056,80.6,12.7,0.0,3.4,0.0,0.0,3.3,20.9
100,Ohio,Auglaize County,Census Tract 403,1959,82.3,4.4,0.0,4.5,0.5,0.4,7.9,16.1
101,Ohio,Auglaize County,Census Tract 404,2980,89.3,2.7,0.0,0.7,0.0,0.5,6.9,21.4
102,Ohio,Auglaize County,Census Tract 405,2593,85.6,4.9,0.0,2.6,0.0,0.8,6.1,20.9
103,Ohio,Auglaize County,Census Tract 406,1883,84.6,9.8,0.0,0.9,0.0,2.0,2.8,16.6
104,Ohio,Auglaize County,Census Tract 409,1852,83.5,4.1,0.0,1.7,0.8,0.0,9.8,16.6
105,Ohio,Auglaize County,Census Tract 410,1912,83.1,2.7,0.0,3.2,2.9,0.4,7.7,17.6
106,Ohio,Auglaize County,Census Tract 411,2050,88.8,6.6,0.0,0.6,0.0,0.5,3.5,19.0
107,Ohio,Auglaize County,Census Tract 412.01,853,82.2,3.3,0.0,0.7,3.6,0.6,9.6,21.1
108,Ohio,Auglaize County,Census Tract 412.02,2962,82.4,9.9,0.0,1.4,0.0,3.8,2.5,14.5
109,Ohio,Belmont County,Census Tract 101,1789,82.7,8.1,0.0,0.6,0.2,1.0,7.4,24.3
110,Ohio,Belmont County,Census Tract 102,1485,83.3,3.8,0.0,2.8,0.0,0.7,9.4,30.1
111,Ohio,Belmont County,Census Tract 103,1623,85.6,5.8,0.0,0.1,0.0,0.0,8.4,29.8
