,GEO_0,GEO_1,GEO_2,GEO_3,median_HH_income,per_capita_income,gini_index,pop_FPL_total,pop_FPL_LT50,pop_FPL_50_99,below_poverty_pct
70,Illinois,Champaign County,Census Tract 9.01,,40443.0,29164.0,0.5705,4246,489,486,0.2296
71,Illinois,Champaign County,Census Tract 9.02,,75852.0,43699.0,0.4305,7330,196,156,0.048
72,Illinois,Champaign County,Census Tract 10,,76359.0,45459.0,0.4402,3873,461,255,0.1849
73,Illinois,Champaign County,Census Tract 11,,97330.0,56126.0,0.4641,3942,135,35,0.0431
74,Illinois,Champaign County,Census Tract 12.01,,62087.0,30417.0,0.3972,6710,204,945,0.1712
75,Illinois,Champaign County,Census Tract 12.03,,90483.0,45904.0,0.36,4593,81,197,0.0605
76,Illinois,Champaign County,Census Tract 12.04,,126750.0,67690.0,0.4235,3397,163,16,0.0527
77,Illinois,Champaign County,Census Tract 12.05,,102027.0,64042.0,0.5268,8537,715,165,0.1031
78,Illinois,Champaign County,Census Tract 12.06,,110375.0,70922.0,0.4823,1908,52,28,0.0419
79,Illinois,Champaign County,Census Tract 13.01,,80461.0,51232.0,0.4121,5706,205,283,0.0855
80,Illinois,Champaign County,Census Tract 13.02,,103864.0,61584.0,0.4141,4457,162,161,0.0725
81,Illinois,Champaign County,Census Tract 14,,86176.0,25342.0,0.4351,4073,189,224,0.1014
82,Illinois,Champaign County,Census Tract 53,,26250.0,15182.0,0.52,4226,1682,431,0.5
83,Illinois,Champaign County,Census Tract 54.01,,36615.0,24113.0,0.4559,4000,974,218,0.298
84,Illinois,Champaign County,Census Tract 54.02,,68815.0,37850.0,0.343,3835,284,410,0.181
85,Illinois,Champaign County,Census Tract 55,,64267.0,36428.0,0.392,4916,540,336,0.1782
86,Illinois,Champaign County,Census Tract 56.01,,65467.0,40065.0,0.4773,5881,542,424,0.1643
87,Illinois,Champaign County,Census Tract 56.02,,66667.0,49086.0,0.5184,2620,181,252,0.1653
88,Illinois,Champaign County,Census Tract 57.01,,67066.0,41495.0,0.4517,4984,318,308,0.1256
89,Illinois,Champaign County,Census Tract 57.02,,95278.0,59770.0,0.4129,1474,22,20,0.0285
90,Illinois,Champaign County,Census Tract 58,,71525.0,50585.0,0.5616,3738,809,314,0.3004
91,Illinois,Champaign County,Census Tract 59.01,,10208.0,5981.0,0.6784,820,448,131,0.7061
92,Illinois,Champaign County,Census Tract 59.02,,17159.0,6994.0,0.5273,1232,485,303,0.6396
93,Illinois,Champaign County,Census Tract 60,,30163.0,27458.0,0.6149,1040,169,112,0.2702
94,Illinois,Champaign County,Census Tract 101,,48503.0,29309.0,0.3308,4178,51,225,0.0661
