,GEO_0,GEO_1,GEO_2,GEO_3,pop_total,white,black,indian,asian,pacific,other,multi,latino,white_pct,black_pct,indian_pct,asian_pct,pacific_pct,other_pct,multi_pct,latino_pct
2786,Kentucky,Cumberland County,Census Tract 9501,Block Group 2,728,690,4,0,0,1,1,26,6,0.9478021978021978,0.005494505494505495,0.0,0.0,0.0013736263736263737,0.0013736263736263737,0.03571428571428571,0.008241758241758242
2787,Kentucky,Crittenden County,Census Tract 9304,Block Group 1,937,888,1,3,0,0,1,35,9,0.9477054429028815,0.0010672358591248667,0.0032017075773745998,0.0,0.0,0.0010672358591248667,0.03735325506937033,0.0096051227321238
2788,Kentucky,Crittenden County,Census Tract 9304,Block Group 2,701,668,5,2,0,0,0,21,5,0.9529243937232525,0.007132667617689016,0.0028530670470756064,0.0,0.0,0.0,0.029957203994293864,0.007132667617689016
2789,Kentucky,Cumberland County,Census Tract 9501,Block Group 1,1009,940,16,1,0,1,0,38,13,0.931615460852329,0.015857284440039643,0.0009910802775024777,0.0,0.0009910802775024777,0.0,0.03766105054509415,0.01288404360753221
2790,Kentucky,Cumberland County,Census Tract 9501,Block Group 3,482,366,68,0,0,1,3,35,9,0.7593360995850622,0.14107883817427386,0.0,0.0,0.002074688796680498,0.006224066390041493,0.07261410788381743,0.01867219917012448
2791,Kentucky,Cumberland County,Census Tract 9501,Block Group 4,753,704,19,0,0,0,2,19,9,0.9349269588313412,0.025232403718459494,0.0,0.0,0.0,0.0026560424966799467,0.025232403718459494,0.01195219123505976
2792,Kentucky,Cumberland County,Census Tract 9501,Block Group 5,741,668,24,0,1,1,0,27,20,0.9014844804318488,0.032388663967611336,0.0,0.001349527665317139,0.001349527665317139,0.0,0.03643724696356275,0.02699055330634278
2793,Kentucky,Cumberland County,Census Tract 9502,Block Group 1,518,499,4,0,0,1,0,11,3,0.9633204633204633,0.007722007722007722,0.0,0.0,0.0019305019305019305,0.0,0.021235521235521235,0.005791505791505791
2794,Kentucky,Cumberland County,Census Tract 9502,Block Group 2,900,872,5,0,0,1,0,18,4,0.9688888888888889,0.005555555555555556,0.0,0.0,0.0011111111111111111,0.0,0.02,0.0044444444444444444
2795,Kentucky,Cumberland County,Census Tract 9502,Block Group 3,757,706,10,0,1,0,0,27,13,0.9326287978863936,0.013210039630118891,0.0,0.001321003963011889,0.0,0.0,0.035667107001321,0.017173051519154558
2796,Kentucky,Daviess County,Census Tract 1,Block Group 1,977,756,113,0,2,6,4,49,47,0.7737973387922211,0.11566018423746162,0.0,0.0020470829068577278,0.006141248720573183,0.0040941658137154556,0.05015353121801433,0.048106448311156604
2797,Kentucky,Daviess County,Census Tract 1,Block Group 2,843,691,35,2,5,3,0,45,62,0.8196915776986952,0.04151838671411625,0.002372479240806643,0.005931198102016607,0.0035587188612099642,0.0,0.05338078291814947,0.07354685646500593
2798,Kentucky,Daviess County,Census Tract 1,Block Group 3,1515,819,460,5,25,1,12,94,99,0.5405940594059406,0.30363036303630364,0.0033003300330033004,0.0165016501650165,0.0006600660066006601,0.007920792079207921,0.062046204620462043,0.06534653465346535
2799,Kentucky,Daviess County,Census Tract 2,Block Group 0,0,0,0,0,0,0,0,0,0,,,,,,,,
2800,Kentucky,Daviess County,Census Tract 2,Block Group 1,1337,1066,96,5,14,0,10,76,70,0.7973074046372476,0.07180254300673149,0.0037397157816005983,0.010471204188481676,0.0,0.0074794315632011965,0.056843679880329095,0.05235602094240838
2801,Kentucky,Daviess County,Census Tract 2,Block Group 2,1266,830,237,2,2,0,5,87,103,0.655608214849921,0.1872037914691943,0.001579778830963665,0.001579778830963665,0.0,0.0039494470774091624,0.06872037914691943,0.08135860979462875
2802,Kentucky,Daviess County,Census Tract 2,Block Group 3,874,367,349,2,4,0,7,84,61,0.41990846681922195,0.39931350114416475,0.002288329519450801,0.004576659038901602,0.0,0.008009153318077803,0.09610983981693363,0.06979405034324943
2803,Kentucky,Daviess County,Census Tract 3,Block Group 0,0,0,0,0,0,0,0,0,0,,,,,,,,
2804,Kentucky,Daviess County,Census Tract 3,Block Group 1,1053,731,117,0,61,0,4,55,85,0.6942070275403609,0.1111111111111111,0.0,0.057929724596391265,0.0,0.003798670465337132,0.052231718898385564,0.08072174738841406
2805,Kentucky,Daviess County,Census Tract 3,Block Group 2,965,661,114,0,23,2,4,53,108,0.6849740932642487,0.11813471502590674,0.0,0.02383419689119171,0.002072538860103627,0.004145077720207254,0.054922279792746116,0.11191709844559586
2806,Kentucky,Daviess County,Census Tract 4.01,Block Group 1,1647,1409,45,1,83,0,0,57,52,0.8554948391013965,0.0273224043715847,0.0006071645415907711,0.050394656952034,0.0,0.0,0.03460837887067395,0.031572556162720096
2807,Kentucky,Daviess County,Census Tract 4.01,Block Group 2,1492,1229,71,3,32,1,5,71,80,0.8237265415549598,0.04758713136729222,0.0020107238605898124,0.021447721179624665,0.0006702412868632708,0.003351206434316354,0.04758713136729222,0.05361930294906166
2808,Kentucky,Daviess County,Census Tract 4.01,Block Group 3,1121,822,62,2,8,0,8,99,120,0.7332738626226584,0.05530776092774309,0.001784121320249777,0.007136485280999108,0.0,0.007136485280999108,0.08831400535236396,0.10704727921498662
2809,Kentucky,Daviess County,Census Tract 4.01,Block Group 4,1286,970,87,4,6,1,7,122,89,0.7542768273716952,0.06765163297045101,0.003110419906687403,0.004665629860031105,0.0007776049766718507,0.005443234836702955,0.09486780715396578,0.06920684292379471
2810,Kentucky,Daviess County,Census Tract 4.02,Block Group 0,0,0,0,0,0,0,0,0,0,,,,,,,,
2811,Kentucky,Daviess County,Census Tract 4.02,Block Group 1,1278,1056,86,0,7,0,0,78,51,0.8262910798122066,0.06729264475743349,0.0,0.005477308294209703,0.0,0.0,0.06103286384976526,0.03990610328638498
2812,Kentucky,Daviess County,Census Tract 4.02,Block Group 2,969,657,118,1,6,0,13,89,85,0.6780185758513931,0.1217750257997936,0.0010319917440660474,0.006191950464396285,0.0,0.013415892672858616,0.09184726522187822,0.08771929824561403
2813,Kentucky,Daviess County,Census Tract 5,Block Group 1,1099,826,71,6,4,2,16,53,121,0.7515923566878981,0.0646041856232939,0.00545950864422202,0.003639672429481347,0.0018198362147406734,0.014558689717925387,0.048225659690627844,0.11010009099181074
2814,Kentucky,Daviess County,Census Tract 5,Block Group 2,839,653,49,2,1,2,5,56,71,0.7783075089392133,0.058402860548271755,0.0023837902264600714,0.0011918951132300357,0.0023837902264600714,0.0059594755661501785,0.066746126340882,0.08462455303933254
2815,Kentucky,Daviess County,Census Tract 6,Block Group 1,1532,1040,227,1,5,0,6,83,170,0.6788511749347258,0.1481723237597911,0.0006527415143603133,0.0032637075718015664,0.0,0.0039164490861618795,0.054177545691906005,0.11096605744125326
2816,Kentucky,Daviess County,Census Tract 6,Block Group 2,1120,949,78,1,23,0,1,37,31,0.8473214285714286,0.06964285714285715,0.0008928571428571428,0.020535714285714286,0.0,0.0008928571428571428,0.033035714285714286,0.027678571428571427
2817,Kentucky,Daviess County,Census Tract 6,Block Group 3,872,787,23,1,2,0,2,36,21,0.9025229357798165,0.026376146788990827,0.0011467889908256881,0.0022935779816513763,0.0,0.0022935779816513763,0.04128440366972477,0.02408256880733945
2818,Kentucky,Daviess County,Census Tract 6,Block Group 4,2286,2100,79,2,36,0,4,33,32,0.9186351706036745,0.03455818022747156,0.0008748906386701663,0.015748031496062992,0.0,0.0017497812773403325,0.014435695538057743,0.01399825021872266
2819,Kentucky,Daviess County,Census Tract 7,Block Group 1,1328,1168,23,0,50,0,5,45,37,0.8795180722891566,0.017319277108433735,0.0,0.03765060240963856,0.0,0.0037650602409638554,0.0338855421686747,0.02786144578313253
2820,Kentucky,Daviess County,Census Tract 7,Block Group 2,1296,1224,18,0,8,0,1,31,14,0.9444444444444444,0.013888888888888888,0.0,0.006172839506172839,0.0,0.0007716049382716049,0.023919753086419752,0.010802469135802469
2821,Kentucky,Fayette County,Census Tract 38.02,Block Group 2,692,359,28,3,5,0,1,18,278,0.5187861271676301,0.04046242774566474,0.004335260115606936,0.0072254335260115606,0.0,0.001445086705202312,0.02601156069364162,0.40173410404624277
2822,Kentucky,Fayette County,Census Tract 37.04,Block Group 2,3048,1616,887,0,77,1,14,139,314,0.5301837270341208,0.29101049868766404,0.0,0.02526246719160105,0.00032808398950131233,0.004593175853018373,0.04560367454068241,0.10301837270341208
2823,Kentucky,Fayette County,Census Tract 37.04,Block Group 3,1183,665,268,0,48,0,10,73,119,0.5621301775147929,0.2265426880811496,0.0,0.04057480980557904,0.0,0.0084530853761623,0.06170752324598478,0.10059171597633136
2824,Kentucky,Fayette County,Census Tract 38.02,Block Group 1,642,473,35,2,5,0,0,20,107,0.7367601246105919,0.05451713395638629,0.003115264797507788,0.00778816199376947,0.0,0.0,0.03115264797507788,0.16666666666666666
2825,Kentucky,Fayette County,Census Tract 38.02,Block Group 3,714,510,17,1,4,0,1,23,158,0.7142857142857143,0.023809523809523808,0.0014005602240896359,0.0056022408963585435,0.0,0.0014005602240896359,0.03221288515406162,0.22128851540616246
2826,Kentucky,Fayette County,Census Tract 38.03,Block Group 1,2196,847,845,7,24,2,24,144,303,0.38570127504553736,0.3847905282331512,0.0031876138433515485,0.01092896174863388,0.0009107468123861566,0.01092896174863388,0.06557377049180328,0.13797814207650272
2827,Kentucky,Fayette County,Census Tract 38.03,Block Group 2,1298,946,182,4,20,0,2,41,103,0.7288135593220338,0.14021571648690292,0.0030816640986132513,0.015408320493066256,0.0,0.0015408320493066256,0.031587057010785825,0.07935285053929121
2828,Kentucky,Fayette County,Census Tract 38.04,Block Group 1,2724,276,1156,7,5,0,11,74,1195,0.1013215859030837,0.4243759177679883,0.0025697503671071953,0.0018355359765051395,0.0,0.004038179148311307,0.027165932452276064,0.43869309838472836
2829,Kentucky,Christian County,Census Tract 2008,Block Group 1,2069,842,1044,2,5,1,7,104,64,0.4069598840019333,0.5045915901401643,0.0009666505558240696,0.002416626389560174,0.0004833252779120348,0.0033832769453842437,0.05026582890285162,0.030932817786370227
2830,Kentucky,Christian County,Census Tract 2007,Block Group 2,2164,1603,370,2,26,0,7,69,87,0.7407578558225508,0.1709796672828096,0.0009242144177449168,0.012014787430683918,0.0,0.003234750462107209,0.03188539741219963,0.040203327171903884
2831,Kentucky,Christian County,Census Tract 2007,Block Group 3,1268,984,129,1,0,0,6,73,75,0.7760252365930599,0.10173501577287067,0.0007886435331230284,0.0,0.0,0.00473186119873817,0.057570977917981075,0.05914826498422713
2832,Kentucky,Christian County,Census Tract 2007,Block Group 4,1582,1144,290,4,7,0,4,46,87,0.7231352718078382,0.18331226295828065,0.0025284450063211127,0.004424778761061947,0.0,0.0025284450063211127,0.029077117572692796,0.054993678887484194
2833,Kentucky,Christian County,Census Tract 2008,Block Group 2,571,184,327,11,0,4,0,31,14,0.3222416812609457,0.5726795096322241,0.01926444833625219,0.0,0.0070052539404553416,0.0,0.0542907180385289,0.024518388791593695
2834,Kentucky,Christian County,Census Tract 2009.01,Block Group 1,2191,1613,399,10,26,2,3,85,53,0.7361935189411227,0.18210862619808307,0.004564125969876769,0.011866727521679598,0.0009128251939753537,0.0013692377909630307,0.03879507074395253,0.024189867640346873
2835,Kentucky,Christian County,Census Tract 2009.01,Block Group 2,649,524,57,6,10,0,0,26,26,0.8073959938366718,0.08782742681047766,0.009244992295839754,0.015408320493066256,0.0,0.0,0.040061633281972264,0.040061633281972264
2836,Kentucky,Christian County,Census Tract 2009.02,Block Group 1,969,902,27,0,1,1,0,24,14,0.9308565531475749,0.02786377708978328,0.0,0.0010319917440660474,0.0010319917440660474,0.0,0.02476780185758514,0.014447884416924664
2837,Kentucky,Christian County,Census Tract 2009.02,Block Group 2,1326,1093,109,0,16,2,4,62,40,0.8242835595776772,0.08220211161387632,0.0,0.012066365007541479,0.0015082956259426848,0.0030165912518853697,0.04675716440422323,0.030165912518853696
2838,Kentucky,Christian County,Census Tract 2009.02,Block Group 3,1112,952,59,5,12,1,5,41,37,0.8561151079136691,0.053057553956834536,0.0044964028776978415,0.01079136690647482,0.0008992805755395684,0.0044964028776978415,0.0368705035971223,0.03327338129496403
2839,Kentucky,Christian County,Census Tract 2010,Block Group 1,946,870,10,2,2,0,6,25,31,0.919661733615222,0.010570824524312896,0.0021141649048625794,0.0021141649048625794,0.0,0.006342494714587738,0.026427061310782242,0.03276955602536998
2840,Kentucky,Christian County,Census Tract 2010,Block Group 2,1128,1058,11,2,2,1,2,35,17,0.9379432624113475,0.00975177304964539,0.0017730496453900709,0.0017730496453900709,0.0008865248226950354,0.0017730496453900709,0.03102836879432624,0.015070921985815602
2841,Kentucky,Christian County,Census Tract 2011,Block Group 1,1290,1141,82,1,0,0,0,53,13,0.8844961240310077,0.06356589147286822,0.0007751937984496124,0.0,0.0,0.0,0.04108527131782946,0.010077519379844961
2842,Kentucky,Christian County,Census Tract 2011,Block Group 2,1257,1163,20,0,4,0,0,47,23,0.9252187748607796,0.015910898965791568,0.0,0.0031821797931583136,0.0,0.0,0.03739061256961018,0.018297533810660304
2843,Kentucky,Christian County,Census Tract 2011,Block Group 3,1096,1033,7,8,3,0,0,29,16,0.9425182481751825,0.006386861313868613,0.0072992700729927005,0.002737226277372263,0.0,0.0,0.02645985401459854,0.014598540145985401
2844,Kentucky,Christian County,Census Tract 2012,Block Group 1,1467,1317,55,8,2,3,7,55,20,0.8977505112474438,0.03749147920927062,0.0054533060668029995,0.0013633265167007499,0.002044989775051125,0.004771642808452625,0.03749147920927062,0.013633265167007498
2845,Kentucky,Christian County,Census Tract 2012,Block Group 2,1291,1142,68,6,6,1,1,36,31,0.8845855925639039,0.052672347017815646,0.004647560030983733,0.004647560030983733,0.000774593338497289,0.000774593338497289,0.027885360185902403,0.024012393493415957
2846,Kentucky,Christian County,Census Tract 2013.01,Block Group 1,1012,826,79,3,1,0,5,37,61,0.8162055335968379,0.07806324110671936,0.0029644268774703555,0.0009881422924901185,0.0,0.004940711462450593,0.036561264822134384,0.06027667984189723
2847,Kentucky,Christian County,Census Tract 2013.01,Block Group 2,1344,1153,109,2,2,1,3,32,42,0.8578869047619048,0.08110119047619048,0.001488095238095238,0.001488095238095238,0.000744047619047619,0.002232142857142857,0.023809523809523808,0.03125
2848,Kentucky,Christian County,Census Tract 2013.01,Block Group 3,980,718,179,5,1,1,3,27,46,0.7326530612244898,0.1826530612244898,0.00510204081632653,0.0010204081632653062,0.0010204081632653062,0.003061224489795918,0.027551020408163266,0.04693877551020408
2849,Kentucky,Fayette County,Census Tract 38.04,Block Group 2,1217,147,761,2,3,3,5,19,277,0.12078882497945768,0.6253081347576006,0.0016433853738701725,0.0024650780608052587,0.0024650780608052587,0.004108463434675432,0.015612161051766639,0.2276088742810189
2850,Kentucky,Fayette County,Census Tract 38.04,Block Group 3,2538,390,1545,2,18,5,22,70,486,0.1536643026004728,0.6087470449172577,0.0007880220646178094,0.0070921985815602835,0.001970055161544523,0.008668242710795903,0.027580772261623327,0.19148936170212766
2851,Kentucky,Fayette County,Census Tract 39.06,Block Group 1,1956,1571,131,0,81,0,8,94,71,0.8031697341513292,0.06697341513292433,0.0,0.04141104294478527,0.0,0.00408997955010225,0.04805725971370143,0.036298568507157465
2852,Kentucky,Fayette County,Census Tract 39.06,Block Group 2,2627,2214,133,0,107,0,8,98,67,0.8427864484202512,0.05062809288161401,0.0,0.04073087171678721,0.0,0.0030452988199467074,0.03730491054434716,0.025504377617053674
2853,Kentucky,Fayette County,Census Tract 39.08,Block Group 1,2951,2008,369,6,190,0,11,150,217,0.6804473059979668,0.12504235852253473,0.0020332090816672314,0.06438495425279567,0.0,0.003727549983056591,0.05083022704168079,0.0735343951202982
