,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
33,Kentucky,Fayette County,,148959,139715,9244,86998,9687,4303,7795,10489,13348,14680,1595,64,75121,64594,293500.0,1164.0,10054,53829,53523,22309,0.07196077729663959,0.3852771713846044,0.3830869985327273,0.1596750527860287
34,Kentucky,Fleming County,,6793,5859,934,4309,101,138,47,183,26,53,1936,0,4384,1475,134700.0,715.0,541,1521,2151,1646,0.09233657620754394,0.25960061443932414,0.3671274961597542,0.2809353131933777
35,Kentucky,Floyd County,,17505,14700,2805,10031,43,484,398,425,343,175,5552,54,10611,4089,98700.0,672.0,1547,4968,5260,2925,0.10523809523809524,0.3379591836734694,0.3578231292517007,0.1989795918367347
36,Kentucky,Franklin County,,24163,22718,1445,16067,692,965,1579,1615,1028,925,1125,167,14646,8072,216600.0,967.0,1352,8013,8720,4633,0.05951228101065235,0.3527159080905009,0.38383660533497665,0.20393520556387007
37,Kentucky,Fulton County,,3158,2550,608,2508,28,138,162,71,81,20,150,0,1576,974,79100.0,570.0,434,867,834,415,0.17019607843137255,0.34,0.3270588235294118,0.1627450980392157
38,Kentucky,Gallatin County,,3816,3265,551,2255,23,16,40,281,113,92,966,30,2451,814,178200.0,832.0,174,854,1034,1203,0.05329249617151608,0.26156202143950996,0.31669218989280246,0.36845329249617154
39,Kentucky,Garrard County,,7280,6695,585,5786,97,127,191,38,6,0,1035,0,5349,1346,204900.0,794.0,316,1676,2573,2130,0.04719940253920837,0.250336071695295,0.38431665421956684,0.3181478715459298
40,Kentucky,Grant County,,10245,9224,1021,6507,249,168,373,474,126,109,2239,0,6930,2294,209500.0,862.0,446,2421,3651,2706,0.04835212489158716,0.26246747614917604,0.39581526452732,0.29336513443191675
41,Kentucky,Graves County,,16425,14139,2286,13216,147,399,474,75,73,137,1802,102,10755,3384,147800.0,775.0,795,3949,5432,3963,0.05622745597284108,0.27929839451163446,0.3841855859678902,0.2802885635476342
42,Kentucky,Grayson County,,13369,10129,3240,9804,242,319,304,197,133,142,2195,33,7553,2576,164600.0,658.0,564,3053,3203,3309,0.055681705992694244,0.3014117879356304,0.3162207522953895,0.3266857537762859
