,GEO_0,GEO_1,GEO_2,GEO_3,work_pop,labor,civilian,employed,unemployed,armed_forces,not_labor,unemp_rate,labor_pct,civilian_pct,employed_pct,unemployed_pct,armed_forces_pct,not_labor_pct
3355,Kentucky,Todd County,Census Tract 9502,Block Group 3,1381,816,816,812,4,0,565,0.004901960784313725,0.5908761766835626,0.5908761766835626,0.5879797248370746,0.002896451846488052,0.0,0.4091238233164374
3356,Kentucky,Todd County,Census Tract 9502,Block Group 4,1170,665,665,665,0,0,505,0.0,0.5683760683760684,0.5683760683760684,0.5683760683760684,0.0,0.0,0.43162393162393164
3357,Kentucky,Todd County,Census Tract 9503,Block Group 1,516,332,332,318,14,0,184,0.04216867469879518,0.6434108527131783,0.6434108527131783,0.6162790697674418,0.027131782945736434,0.0,0.35658914728682173
3358,Kentucky,Todd County,Census Tract 9503,Block Group 2,1425,784,784,658,126,0,641,0.16071428571428573,0.5501754385964912,0.5501754385964912,0.4617543859649123,0.08842105263157894,0.0,0.4498245614035088
3359,Kentucky,Todd County,Census Tract 9504,Block Group 1,1363,930,925,924,1,5,433,0.001081081081081081,0.6823184152604549,0.6786500366837858,0.677916360968452,0.0007336757153338225,0.003668378576669112,0.3176815847395451
3360,Kentucky,Trigg County,Census Tract 9701,Block Group 1,861,507,507,496,11,0,354,0.021696252465483234,0.5888501742160279,0.5888501742160279,0.5760743321718932,0.012775842044134728,0.0,0.41114982578397213
3361,Kentucky,Trigg County,Census Tract 9701,Block Group 2,442,87,87,66,21,0,355,0.2413793103448276,0.19683257918552036,0.19683257918552036,0.1493212669683258,0.04751131221719457,0.0,0.8031674208144797
3362,Kentucky,Trigg County,Census Tract 9701,Block Group 3,1034,477,477,449,28,0,557,0.05870020964360587,0.46131528046421666,0.46131528046421666,0.43423597678916825,0.027079303675048357,0.0,0.5386847195357833
3363,Kentucky,Trigg County,Census Tract 9702.01,Block Group 1,1326,835,817,803,14,18,491,0.017135862913096694,0.6297134238310709,0.6161387631975868,0.6055806938159879,0.010558069381598794,0.013574660633484163,0.3702865761689291
3364,Kentucky,Trigg County,Census Tract 9702.01,Block Group 2,707,362,362,330,32,0,345,0.08839779005524862,0.512022630834512,0.512022630834512,0.4667609618104668,0.04526166902404526,0.0,0.48797736916548795
3365,Kentucky,Trigg County,Census Tract 9702.02,Block Group 1,587,335,327,298,29,8,252,0.08868501529051988,0.5706984667802385,0.5570698466780238,0.5076660988074957,0.049403747870528106,0.013628620102214651,0.4293015332197615
3366,Kentucky,Trigg County,Census Tract 9702.02,Block Group 2,1552,891,891,838,53,0,661,0.05948372615039282,0.5740979381443299,0.5740979381443299,0.5399484536082474,0.03414948453608247,0.0,0.4259020618556701
3367,Kentucky,Trigg County,Census Tract 9702.02,Block Group 3,873,462,449,447,2,13,411,0.004454342984409799,0.5292096219931272,0.5143184421534936,0.5120274914089347,0.002290950744558992,0.014891179839633447,0.47079037800687284
3368,Kentucky,Trigg County,Census Tract 9703.01,Block Group 1,850,264,264,264,0,0,586,0.0,0.31058823529411766,0.31058823529411766,0.31058823529411766,0.0,0.0,0.6894117647058824
3369,Kentucky,Trigg County,Census Tract 9703.01,Block Group 2,1524,923,923,909,14,0,601,0.015167930660888408,0.6056430446194225,0.6056430446194225,0.5964566929133859,0.009186351706036745,0.0,0.3943569553805774
3370,Kentucky,Trigg County,Census Tract 9703.02,Block Group 1,1059,452,448,407,41,4,607,0.09151785714285714,0.42681775259678945,0.4230406043437205,0.3843248347497639,0.03871576959395656,0.003777148253068933,0.5731822474032106
3371,Kentucky,Trigg County,Census Tract 9703.02,Block Group 2,689,330,330,330,0,0,359,0.0,0.47895500725689405,0.47895500725689405,0.47895500725689405,0.0,0.0,0.521044992743106
3372,Kentucky,Trigg County,Census Tract 9801,Block Group 1,6,0,0,0,0,0,6,,0.0,0.0,0.0,0.0,0.0,1.0
3373,Kentucky,Trigg County,Census Tract 9802,Block Group 1,0,0,0,0,0,0,0,,,,,,,
3374,Kentucky,Trimble County,Census Tract 1001,Block Group 1,1020,650,650,619,31,0,370,0.047692307692307694,0.6372549019607843,0.6372549019607843,0.6068627450980392,0.030392156862745098,0.0,0.3627450980392157
3375,Kentucky,Trimble County,Census Tract 1001,Block Group 2,862,518,518,495,23,0,344,0.0444015444015444,0.6009280742459396,0.6009280742459396,0.574245939675174,0.02668213457076566,0.0,0.3990719257540603
3376,Kentucky,Trimble County,Census Tract 1001,Block Group 3,782,441,441,425,16,0,341,0.036281179138321996,0.5639386189258312,0.5639386189258312,0.5434782608695652,0.020460358056265986,0.0,0.4360613810741688
3377,Kentucky,Trimble County,Census Tract 1002,Block Group 1,1131,735,735,697,38,0,396,0.05170068027210884,0.649867374005305,0.649867374005305,0.6162687886825818,0.03359858532272325,0.0,0.35013262599469497
3378,Kentucky,Trimble County,Census Tract 1002,Block Group 2,1490,605,605,582,23,0,885,0.03801652892561983,0.40604026845637586,0.40604026845637586,0.3906040268456376,0.015436241610738255,0.0,0.5939597315436241
3379,Kentucky,Trimble County,Census Tract 1002,Block Group 3,1714,1094,1094,975,119,0,620,0.10877513711151737,0.6382730455075846,0.6382730455075846,0.5688448074679113,0.06942823803967328,0.0,0.3617269544924154
3380,Kentucky,Union County,Census Tract 9501,Block Group 0,0,0,0,0,0,0,0,,,,,,,
3381,Kentucky,Union County,Census Tract 9501,Block Group 1,633,390,390,379,11,0,243,0.028205128205128206,0.6161137440758294,0.6161137440758294,0.5987361769352291,0.017377567140600316,0.0,0.38388625592417064
3382,Kentucky,Union County,Census Tract 9501,Block Group 2,655,334,334,332,2,0,321,0.005988023952095809,0.5099236641221374,0.5099236641221374,0.5068702290076336,0.0030534351145038168,0.0,0.4900763358778626
3383,Kentucky,Union County,Census Tract 9502.01,Block Group 1,976,543,543,532,11,0,433,0.020257826887661142,0.5563524590163934,0.5563524590163934,0.5450819672131147,0.011270491803278689,0.0,0.44364754098360654
3384,Kentucky,Union County,Census Tract 9502.01,Block Group 2,1258,545,545,540,5,0,713,0.009174311926605505,0.4332273449920509,0.4332273449920509,0.4292527821939587,0.00397456279809221,0.0,0.5667726550079492
3385,Kentucky,Union County,Census Tract 9502.01,Block Group 3,619,332,332,332,0,0,287,0.0,0.5363489499192245,0.5363489499192245,0.5363489499192245,0.0,0.0,0.46365105008077545
3386,Kentucky,Union County,Census Tract 9502.01,Block Group 4,499,210,210,210,0,0,289,0.0,0.42084168336673344,0.42084168336673344,0.42084168336673344,0.0,0.0,0.5791583166332666
3387,Kentucky,Union County,Census Tract 9502.01,Block Group 5,910,342,342,324,18,0,568,0.05263157894736842,0.3758241758241758,0.3758241758241758,0.35604395604395606,0.01978021978021978,0.0,0.6241758241758242
3388,Kentucky,Union County,Census Tract 9502.02,Block Group 0,0,0,0,0,0,0,0,,,,,,,
3389,Kentucky,Union County,Census Tract 9502.02,Block Group 1,1257,741,741,711,30,0,516,0.04048582995951417,0.5894988066825776,0.5894988066825776,0.5656324582338902,0.02386634844868735,0.0,0.4105011933174224
3390,Kentucky,Union County,Census Tract 9502.02,Block Group 2,506,288,288,288,0,0,218,0.0,0.5691699604743083,0.5691699604743083,0.5691699604743083,0.0,0.0,0.4308300395256917
3391,Kentucky,Union County,Census Tract 9503,Block Group 0,0,0,0,0,0,0,0,,,,,,,
